id,code,tsr_group_code,name
"459","2331","233","伸銅品製造業"
"460","2332","233","アルミニウム・同合金圧延業（抽伸，押出しを含む）"
"461","2339","233","その他の非鉄金属・同合金圧延業（抽伸，押出しを含む）"
"462","2341","234","電線・ケーブル製造業（光ファイバケーブルを除く）"
"463","2342","234","光ファイバケーブル製造業（通信複合ケーブルを含む）"
"464","2351","235","銅・同合金鋳物製造業（ダイカストを除く）"
"465","2352","235","非鉄金属鋳物製造業（銅・同合金鋳物及びダイカストを除く）"
"466","2353","235","アルミニウム・同合金ダイカスト製造業"
"467","2354","235","非鉄金属ダイカスト製造業（アルミニウム・同合金ダイカストを除く）"
"468","2355","235","非鉄金属鍛造品製造業"
"469","2391","239","核燃料製造業"
"470","2399","239","他に分類されない非鉄金属製造業"
"471","2411","241","ブリキ缶・その他のめっき板等製品製造業"
"472","2421","242","洋食器製造業"
"473","2422","242","機械刃物製造業"
"474","2423","242","利器工匠具・手道具製造業（やすり，のこぎり，食卓用刃物を除く）"
"475","2424","242","作業工具製造業"
"476","2425","242","手引のこぎり・のこ刃製造業"
"477","2426","242","農業用器具製造業（農業用機械を除く）"
"478","2429","242","その他の金物類製造業"
"479","2431","243","配管工事用附属品製造業（バルブ，コックを除く）"
"480","2432","243","ガス機器・石油機器製造業"
"481","2433","243","温風・温水暖房装置製造業"
"482","2439","243","その他の暖房・調理装置製造業（電気機械器具，ガス機器，石油機器を除く）"
"483","2441","244","鉄骨製造業"
"484","2442","244","建設用金属製品製造業（鉄骨を除く）"
"485","2443","244","金属製サッシ・ドア製造業"
"486","2444","244","鉄骨系プレハブ住宅製造業"
"487","2445","244","建築用金属製品製造業（サッシ，ドア，建築用金物を除く）"
"488","2446","244","製缶板金業"
"489","2451","245","アルミニウム・同合金プレス製品製造業"
"490","2452","245","金属プレス製品製造業（アルミニウム・同合金を除く）"
"491","2453","245","粉末や金製品製造業"
"492","2461","246","金属製品塗装業"
"493","2462","246","溶融めっき業（表面処理鋼材製造業を除く）"
"494","2463","246","金属彫刻業"
"495","2464","246","電気めっき業（表面処理鋼材製造業を除く）"
"496","2465","246","金属熱処理業"
"497","2469","246","その他の金属表面処理業"
"498","2471","247","くぎ製造業"
"499","2479","247","その他の金属線製品製造業"
"500","2481","248","ボルト・ナット・リベット・小ねじ・木ねじ等製造業"
"501","2491","249","金庫製造業"
"502","2492","249","金属製スプリング製造業"
"503","2499","249","他に分類されない金属製品製造業"
"504","2511","251","ボイラ製造業"
"505","2512","251","蒸気機関・タービン・水力タービン製造業（舶用を除く）"
"506","2513","251","はん用内燃機関製造業"
"507","2519","251","その他の原動機製造業"
"508","2521","252","ポンプ・同装置製造業"
"509","2522","252","空気圧縮機・ガス圧縮機・送風機製造業"
"510","2523","252","油圧・空圧機器製造業"
"511","2531","253","動力伝導装置製造業（玉軸受，ころ軸受を除く）"
"512","2532","253","エレベータ・エスカレータ製造業"
"513","2533","253","物流運搬設備製造業"
"514","2534","253","工業窯炉製造業"
"515","2535","253","冷凍機・温湿調整装置製造業"
"516","2591","259","消火器具・消火装置製造業"
"517","2592","259","弁・同附属品製造業"
"518","2593","259","パイプ加工・パイプ附属品加工業"
"519","2594","259","玉軸受・ころ軸受製造業"
"520","2595","259","ピストンリング製造業"
"521","2596","259","他に分類されないはん用機械・装置製造業"
"522","2599","259","各種機械・同部分品製造修理業（注文製造・修理）"
"523","2611","261","農業用機械製造業（農業用器具を除く）"
"524","2621","262","建設機械・鉱山機械製造業"
"525","2631","263","化学繊維機械・紡績機械製造業"
"526","2632","263","製織機械・編組機械製造業"
"527","2633","263","染色整理仕上機械製造業"
"528","2634","263","繊維機械部分品・取付具・附属品製造業"
"529","2635","263","縫製機械製造業"
"530","2641","264","食品機械・同装置製造業"
"531","2642","264","木材加工機械製造業"
"532","2643","264","パルプ装置・製紙機械製造業"
"533","2644","264","印刷・製本・紙工機械製造業"
"534","2645","264","包装・荷造機械製造業"
"535","2651","265","鋳造装置製造業"
"536","2652","265","化学機械・同装置製造業"
"537","2653","265","プラスチック加工機械・同附属装置製造業"
"538","2661","266","金属工作機械製造業"
"539","2662","266","金属加工機械製造業（金属工作機械を除く）"
"540","2663","266","金属工作機械用・金属加工機械用部分品・附属品製造業（機械工具，金型を除く）"
"541","2664","266","機械工具製造業（粉末や金業を除く）"
"542","2671","267","半導体製造装置製造業"
"543","2672","267","フラットパネルディスプレイ製造装置製造業"
"544","2691","269","金属用金型・同部分品・附属品製造業"
"545","2692","269","非金属用金型・同部分品・附属品製造業"
"546","2693","269","真空装置・真空機器製造業"
"547","2694","269","ロボット製造業"
"548","2699","269","他に分類されない生産用機械・同部分品製造業"
"549","2711","271","複写機製造業"
"550","2719","271","その他の事務用機械器具製造業"
"551","2721","272","サービス用機械器具製造業"
"552","2722","272","娯楽用機械製造業"
"553","2723","272","自動販売機製造業"
"554","2729","272","その他のサービス用・娯楽用機械器具製造業"
"555","2731","273","体積計製造業"
"556","2732","273","はかり製造業"
"557","2733","273","圧力計・流量計・液面計等製造業"
"558","2734","273","精密測定器製造業"
"559","2735","273","分析機器製造業"
"560","2736","273","試験機製造業"
"561","2737","273","測量機械器具製造業"
"562","2738","273","理化学機械器具製造業"
"563","2739","273","その他の計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業"
"564","2741","274","医療用機械器具製造業"
"565","2742","274","歯科用機械器具製造業"
"566","2743","274","医療用品製造業（動物用医療機械器具を含む）"
"567","2744","274","歯科材料製造業"
"568","2751","275","顕微鏡・望遠鏡等製造業"
"569","2752","275","写真機・映画用機械・同附属品製造業"
"570","2753","275","光学機械用レンズ・プリズム製造業"
"571","2761","276","武器製造業"
"572","2811","281","電子管製造業"
"573","2812","281","光電変換素子製造業"
"574","2813","281","半導体素子製造業（光電変換素子を除く）"
"575","2814","281","集積回路製造業"
"576","2815","281","液晶パネル・フラットパネル製造業"
"577","2821","282","抵抗器・コンデンサ・変成器・複合部品製造業"
"578","2822","282","音響部品・磁気ヘッド・小形モータ製造業"
"579","2823","282","コネクタ・スイッチ・リレー製造業"
"580","2831","283","半導体メモリメディア製造業"
"581","2832","283","光ディスク・磁気ディスク・磁気テープ製造業"
"582","2841","284","電子回路基板製造業"
"583","2842","284","電子回路実装基板製造業"
"584","2851","285","電源ユニット・高周波ユニット・コントロールユニット製造業"
"585","2859","285","その他のユニット部品製造業"
"586","2899","289","その他の電子部品・デバイス・電子回路製造業"
"587","2911","291","発電機・電動機・その他の回転電気機械製造業"
"588","2912","291","変圧器類製造業（電子機器用を除く)"
"589","2913","291","電力開閉装置製造業"
"590","2914","291","配電盤・電力制御装置製造業"
"591","2915","291","配線器具・配線附属品製造業"
"592","2921","292","電気溶接機製造業"
"593","2922","292","内燃機関電装品製造業"
"594","2929","292","その他の産業用電気機械器具製造業（車両用，船舶用を含む）"
"595","2931","293","ちゅう房機器製造業"
"596","2932","293","空調・住宅関連機器製造業"
"597","2933","293","衣料衛生関連機器製造業"
"598","2939","293","その他の民生用電気機械器具製造業"
"599","2941","294","電球製造業"
"600","2942","294","電気照明器具製造業"
"601","2951","295","蓄電池製造業"
"602","2952","295","一次電池（乾電池，湿電池）製造業"
"603","2961","296","Ｘ線装置製造業"
"604","2962","296","医療用電子応用装置製造業"
"605","2969","296","その他の電子応用装置製造業"
"606","2971","297","電気計測器製造業（別掲を除く）"
"607","2972","297","工業計器製造業"
"608","2973","297","医療用計測器製造業"
"609","2999","299","その他の電気機械器具製造業"
"610","3011","301","有線通信機械器具製造業"
"611","3012","301","携帯電話機・ＰＨＳ電話機製造業"
"612","3013","301","無線通信機械器具製造業"
"613","3014","301","ラジオ受信機・テレビジョン受信機製造業"
"614","3015","301","交通信号保安装置製造業"
"615","3019","301","その他の通信機械器具・同関連機械器具製造業"
"616","3021","302","ビデオ機器製造業"
"617","3022","302","デジタルカメラ製造業"
"618","3023","302","電気音響機械器具製造業"
"619","3031","303","電子計算機製造業（パーソナルコンピュータを除く）"
"620","3032","303","パーソナルコンピュータ製造業"
"621","3033","303","外部記憶装置製造業"
"622","3034","303","印刷装置製造業"
"623","3035","303","表示装置製造業"
